x,y
 -0.437648,-0.674884
 0.680478,-0.341400
 0.048555,0.231376
 -0.889599,0.845359
 0.523333,0.831714
 0.441148,-0.821226
 -0.330460,0.745709
 0.520806,-0.774861
 0.537302,-0.495028
 -0.246053,-0.533780
 0.451972,-0.098621
 0.427322,0.309738
 0.307488,-0.899192
 0.500197,0.223321
 0.722675,-0.287913
 0.848851,0.647898
 0.685707,-0.505472
 -0.969998,0.532241
 0.008959,0.796936
 -0.516146,0.651400
 0.595297,0.380570
 -0.826944,0.652999
 0.485279,0.274184
 0.211328,-0.540605
 -0.201011,0.162855
 0.415335,-0.446359
 0.046007,0.538166
 -0.742936,-0.081790
 0.947516,-0.041015
 0.054228,0.416373
 -0.851607,-0.122265
 -0.881350,-0.583615
 -0.563802,-0.881674
 -0.111003,-0.906146
 0.096881,-0.897135
 -0.331275,-0.129492
 -0.753524,-0.794789
 -0.744728,0.750033
 -0.829250,0.055960
 0.738214,-0.456082
 0.842802,0.828550
 0.889514,0.137117
 -0.270464,0.775741
 0.479116,-0.878509
 -0.071580,-0.774904
 0.654118,-0.009278
 -0.302036,0.535770
 -0.085860,0.713105
 -0.027989,-0.995955
 0.093448,0.544228
 -0.178142,-0.337196
 0.656626,0.305563
 0.920449,0.071022
 0.116263,-0.276982
 -0.114404,-0.163564
 -0.872216,-0.872149
 0.789746,-0.892909
 0.811461,0.621206
 -0.614639,-0.098082
 0.582378,0.391993
 -0.582390,-0.295351
 -0.329321,-0.264905
 0.794690,-0.507448
 -0.352806,0.130135
 -0.292759,-0.954437
 0.423643,-0.987003
 -0.789623,0.721071
 0.453722,-0.262771
 -0.958920,0.689671
 0.666263,0.843918
 -0.348343,-0.607402
 0.255654,-0.438782
 -0.990571,-0.010504
 0.298431,-0.885748
 0.707575,-0.666873
 -0.633881,-0.852630
 0.479810,0.363609
 -0.884464,0.374432
 0.573416,0.197935
 0.922101,0.449794
 -0.013492,0.222242
 0.346682,-0.482253
 -0.195491,-0.493340
 0.076528,-0.136459
 -0.287231,0.933098
 0.007160,0.918032
 -0.390965,0.606628
 -0.152341,0.045833
 0.476778,-0.184189
 -0.725095,0.654594
 -0.879225,0.951047
 -0.309731,0.378505
 -0.500746,0.596703
 -0.558174,-0.090257
 0.971783,-0.505914
 0.441535,-0.712767
 -0.008416,0.880540
 -0.478407,-0.030021
 0.399894,-0.803247
 0.796712,0.427995
 0.722574,-0.522555
 -0.382084,-0.906151
 -0.115966,0.834815
 -0.346688,-0.497993
 -0.628818,0.448855
 0.836182,-0.858646
 -0.613274,-0.617038
 0.250380,-0.536327
 -0.742013,0.395498
 -0.861191,-0.048855
 0.777555,-0.943121
 0.129301,0.000539
 -0.923932,-0.278162
 -0.626698,-0.565138
 -0.393582,0.378430
 -0.678102,-0.403001
 -0.600961,0.177537
 -0.205002,0.600166
 0.290929,0.385574
 0.266738,-0.170496
 -0.300640,0.310854
 -0.907893,0.322469
 -0.089685,0.390443
 0.814954,-0.948047
 -0.475387,0.189601
 -0.228787,-0.549568
 0.108720,0.625727
 -0.316236,-0.490114
 -0.295485,0.003560
 0.464553,0.950529
 -0.829744,0.030217
 0.539887,0.552433
 0.872090,-0.744964
 -0.601025,-0.652905
 -0.652016,0.560541
 -0.601844,0.026541
 0.289992,-0.465716
 -0.811316,0.805539
 -0.594328,0.717513
 -0.305459,-0.685401
 0.025043,0.603511
 0.809287,0.582099
 -0.917428,-0.997064
 -0.744561,0.644431
 0.863615,-0.653999
 -0.514187,-0.862019
 0.700535,0.021495
 0.160418,-0.871171
 0.614775,0.585881
 0.857331,0.512623
 0.712246,-0.658243
 0.797227,-0.300626
 0.285634,-0.713573
 -0.748902,0.694681
 -0.955592,-0.909575
 -0.939441,-0.395115
 0.458382,-0.538382
 0.753328,0.373587
 -0.458745,-0.169953
 -0.448535,-0.713372
 0.538763,0.319737
 -0.140860,0.493974
 -0.842061,-0.896128
 -0.990616,0.391804
 0.473441,-0.159003
 0.622993,-0.506585
 0.521094,0.851456
 0.800386,-0.897566
 -0.499691,0.736023
 -0.461184,0.827986
 0.991662,0.595179
 0.547707,-0.846007
 0.203822,-0.469755
 -0.782542,0.860742
 -0.087133,0.035243
 -0.780734,0.716082
 0.337284,-0.972995
 -0.083767,-0.833061
 0.815833,0.640165
 -0.319419,0.062162
 0.257892,0.167981
 -0.173304,-0.913224
 0.779080,-0.736613
 -0.430705,0.806934
 0.995484,0.953816
 -0.798948,0.680924
 -0.129747,-0.956650
 0.955304,0.039729
 0.416435,0.371032
 -0.151455,-0.766840
 -0.925129,0.342954
 -0.950966,0.947109
 -0.768246,-0.682505
 0.787268,0.262462
 -0.313248,0.248922
 -0.192692,0.018686
 0.148458,0.562588
 -0.519815,-0.335822
 0.690722,-0.396263
 0.969587,-0.279823
 -0.780048,0.813898
 -0.708900,0.531674
 0.174004,-0.416659
 -0.789306,0.126541
 -0.145388,-0.709781
 0.250651,0.341356
 -0.504799,-0.655740
 -0.618978,-0.333179
 -0.698763,-0.976135
 -0.266555,0.017947
 0.665602,-0.212664
 -0.477009,-0.554062
 0.853668,-0.512597
 0.438110,-0.095563
 0.191845,0.476266
 -0.498877,-0.743839
 -0.946989,0.330138
 -0.898603,0.269288
 -0.093460,0.885604
 0.951556,0.720301
 0.613660,0.244300
 -0.514180,-0.168167
 -0.724874,-0.815249
 0.227433,-0.285436
 -0.886177,-0.891413
 0.945069,0.318977
 -0.371459,0.143537
 -0.120772,-0.590947
 -0.926003,0.986364
 -0.584377,-0.667473
 0.775826,0.941066
 -0.359352,-0.595898
 0.144472,-0.192879
 -0.199512,-0.033473
 0.166792,0.389883
 0.844362,0.836999
 -0.352624,-0.810131
 -0.395761,0.414828
 -0.477852,-0.256469
 0.669684,0.642387
 0.804121,0.939490
 -0.891386,0.193977
 -0.770841,-0.654352
 0.585937,-0.737530
 0.475838,0.050313
 -0.612607,-0.971284
 0.048588,-0.999457
 -0.577372,-0.903908
 -0.103820,0.695286
 -0.237742,-0.542581
 0.862595,0.482234
 -0.884863,-0.707647
 -0.618666,0.058250
 0.578505,0.761132
 0.638411,-0.480221
 0.698546,-0.115592
 -0.685165,-0.434431
 -0.778793,-0.552926
 0.401887,-0.269454
 0.360648,-0.426735
 -0.476416,0.056549
